#
#     Data from population synthesis for run4
#
# By Ylva Gotberg, 2023-10-03
#
# Initial conditions:
#   Using the single star models from /home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006_single_star/ to determine the radii of donors at different evolutionary stages
#   This means that we assume metallicity, Z=0.006
#   Using the lifetimes of stars from single star models in/home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006_single_star/
#   IMF: Kroupa, M_min = 0.1 Msun, M_max = 100.0 Msun 
# We assume the star-formation type: constant, with a star-formation rate of 0.2 Msun/yr
# This file contains the information about the stars that are present in the population after 100000000.0 years
#   fbin:constant
#   q distribution: flat, 0.1 < q < 1.0
#   P distribution: Sana+12 for M1>15 Msun and Opik24 for M1<15 Msun
#
# Physical assumptions:
#   Critical mass ratio for the donor main sequence, q_crit_MS=0.65
#   Critical mass ratio for the donor Hertzsprung gap, q_crit_HG=0.4
#   Using the alpha-prescription for common envelope evolution
#   alpha_CE = 1.0, lambda_CE = 0.5
#   Using the binary star models from /home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006/ to determine the masses and radii of stripped stars
#   Stripped stars can only be formed from donor stars with 2.0 < M1init/Msun < 100.0
#   Actually, we assume that binary interaction only can occur in the above mass range.
#   For stripped stars we set the total lifetime to tau_MS+tau_strip, where the duration of the stripped phases (tau_strip) come from the binary models in/home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006/
#   Mass transfer efficiency is set to beta_MS = 1.0, beta_HG = 0.0, beta_HG_CEE = 0.0
#   For mergers, we assume that their final mass is M1init+M2init
#   The final period is set by the treatment of angular momentum during interaction, we ignore the effect of wind mass loss on the period.
#   We use the isotropic_reemission setting for the treatment of angular momentum.
#   For common envelope, the period is set in the alpha prescription
#   Rejuvenation of mass gainers and MSMS mergers is set by Tout97
#   HGMS mergers are not rejuvenated, but their lifetimes are adapted to the new mass
#
# Even though the full population synthesis accounts for the full mass range from 0.1 to 100.0 Msun, 
# I will only keep the stars with initial masses (Minit or M1init) between 2.0 and 100.0 Msun.
# I am ignoring single stars that died and binaries in which at least the primary died.
# I show dead secondaries as long as the primary is still alive
# For the star state: 1 - main-sequence star, 2 - stripped star, 3 - post main-sequence star, 4 - compact object, 51 - merger product in MS stage.
#
# Star_ID 	 Star_state_m1 	 Star_state_m2 	 Evolution 	 M1init 	 M2init 	 Pinit 	 Pcurrent 	 log_Teff_1 	 log_Teff_2 	 log_L_1 	 log_L_2 	 center_he4_1 	 center_he4_2 	 center_h1_1 	 center_h1_2 	 log_Lnuc_1 	 log_Lnuc_2 	 he_core_mass_1 	 he_core_mass_2 	 log_R_1 	 log_R_2 	 star_age_1 	 star_age_2 	 log_g_1 	 log_g_2 	 star_mass_1 	 star_mass_2 	 surface_n14_1 	 surface_n14_2 	 surface_c12_1 	 surface_c12_2 	 surface_o16_1 	 surface_o16_2 	 surf_avg_v_rot_1 	 surf_avg_v_rot_2 	 surface_h1_1 	 surface_h1_2 	 surface_he4_1 	 surface_he4_2 	 log_abs_mdot_1 	 log_abs_mdot_2
621	1	1	not_interacting	    2.11967	    0.76967	 2260.66153	 2260.66153 	    4.04487 	    3.84555 	    1.45192 	    0.36450 	    0.27722 	    0.25393 	    0.71666 	    0.73988 	    1.45234 	    0.36372 	    0.00000 	    0.00000 	    0.15948 	    0.01440 	 54003886.94004 	 11457637.43347 	    4.44479 	    4.45490 	    2.12024 	    0.76368 	    0.00000 	    0.00015 	    0.00001 	    0.00109 	    0.00000 	    0.00082 	    0.00000 	    0.00000 	    0.99318 	    0.69904 	    0.00681 	    0.29856 	  -14.52504 	  -10.54646
624	1	1	not_interacting	    3.83543	    1.28572	  573.01155	  573.01155 	    4.20470 	    3.92384 	    2.41429 	    0.77771 	    0.30267 	    0.25591 	    0.69139 	    0.73789 	    2.41466 	    0.77722 	    0.00000 	    0.00000 	    0.32101 	    0.06443 	 26812807.79487 	 15689183.58548 	    4.37899 	    4.46189 	    3.83405 	    1.28224 	    0.00014 	    0.00002 	    0.00056 	    0.00047 	    0.00099 	   -0.00039 	    0.00000 	    0.00000 	    0.83295 	    0.82873 	    0.16501 	    0.17123 	  -11.62808 	  -11.45375
644	1	1	strip_RLOF_HG	    4.55091	    3.76862	   19.91230	   19.91230 	    4.24995 	    4.20438 	    2.66555 	    2.36856 	    0.28661 	    0.27418 	    0.70742 	    0.71980 	    2.66602 	    2.36915 	    0.00000 	    0.00000 	    0.35614 	    0.29878 	 12433239.31240 	 12331456.30532 	    4.38356 	    4.41599 	    4.55299 	    3.76811 	    0.00015 	    0.00014 	    0.00056 	    0.00054 	    0.00104 	    0.00096 	    0.00000 	    0.00000 	    0.82702 	    0.83346 	    0.17091 	    0.16457 	  -11.11501 	  -11.71352
656	1	1	strip_RLOF_HG	    5.41947	    4.58272	   74.89248	   74.89248 	    4.28626 	    4.24778 	    2.98150 	    2.70317 	    0.36213 	    0.32486 	    0.63201 	    0.66924 	    2.98180 	    2.70349 	    0.00000 	    0.00000 	    0.44150 	    0.37929 	 24903997.03191 	 25021245.96776 	    4.28893 	    4.34019 	    5.42186 	    4.58474 	    0.00019 	    0.00013 	    0.00069 	    0.00052 	    0.00152 	    0.00091 	    0.00000 	    0.00000 	    0.79871 	    0.83728 	    0.19830 	    0.16092 	  -10.39407 	  -11.09156
677	1	1	merger_HG	    3.70306	    0.93397	    5.66905	    5.66905 	    4.18834 	    3.87099 	    2.42293 	    0.49834 	    0.38900 	    0.25631 	    0.60513 	    0.73748 	    2.42322 	    0.49747 	    0.00000 	    0.00000 	    0.35805 	    0.03045 	 71775123.46237 	 21169705.06482 	    4.29010 	    4.45687 	    3.70323 	    0.92877 	    0.00016 	    0.00000 	    0.00060 	    0.00053 	    0.00110 	   -0.00064 	    0.00000 	    0.00000 	    0.83147 	    0.79869 	    0.16624 	    0.20152 	  -11.57695 	  -10.51728
704	1	1	strip_postHG	    2.58755	    2.08768	  344.52317	  344.52317 	    4.09919 	    4.03940 	    1.79492 	    1.42935 	    0.30242 	    0.28257 	    0.69159 	    0.71132 	    1.79528 	    1.42975 	    0.00000 	    0.00000 	    0.22235 	    0.15913 	 67701030.46750 	 67730200.21156 	    4.40607 	    4.43885 	    2.59066 	    2.08810 	    0.00007 	    0.00000 	    0.00026 	    0.00001 	    0.00059 	    0.00000 	    0.00000 	    0.00000 	    0.92410 	    0.99183 	    0.07471 	    0.00816 	  -13.28820 	  -14.35536
760	1	1	strip_postHG	    8.16754	    8.08985	 2528.93003	 2528.93003 	    4.26611 	    4.27528 	    3.93891 	    3.90652 	    0.94443 	    0.91162 	    0.04974 	    0.08255 	    3.93929 	    3.90712 	    0.00000 	    0.00000 	    0.96050 	    0.92596 	 37323485.10840 	 37368887.83731 	    3.42534 	    3.49040 	    8.10018 	    8.02742 	    0.00030 	    0.00030 	    0.00102 	    0.00102 	    0.00280 	    0.00280 	    0.00000 	    0.00000 	    0.74200 	    0.74200 	    0.25197 	    0.25197 	   -8.33204 	   -8.38816
785	1	1	strip_CEE_HG	   11.59721	    8.42259	 1508.13449	 1508.13449 	    4.44408 	    4.38579 	    4.12236 	    3.61055 	    0.48417 	    0.36726 	    0.51000 	    0.62689 	    4.12267 	    3.61084 	    0.00000 	    0.00000 	    0.69627 	    0.55695 	 10541325.89294 	 10522120.20874 	    4.10870 	    4.24855 	   11.58480 	    8.41500 	    0.00030 	    0.00030 	    0.00102 	    0.00102 	    0.00280 	    0.00280 	    0.00000 	    0.00000 	    0.74200 	    0.74200 	    0.25197 	    0.25197 	   -8.98722 	   -9.33759
983	1	1	strip_postHG	    3.32998	    1.67247	  468.75515	  468.75515 	    4.17251 	    3.98213 	    2.17966 	    1.08608 	    0.27509 	    0.25682 	    0.71888 	    0.73699 	    2.18021 	    1.08599 	    0.00000 	    0.00000 	    0.26807 	    0.10205 	 17053189.65953 	 14655657.08681 	    4.42432 	    4.46688 	    3.33235 	    1.67087 	    0.00013 	    0.00005 	    0.00050 	    0.00038 	    0.00083 	    0.00005 	    0.00000 	    0.00000 	    0.84715 	    0.86726 	    0.15112 	    0.13226 	  -12.14817 	  -12.25410
996	1	1	merger_HG	    3.03468	    1.49993	   49.59017	   49.59017 	    4.13852 	    3.95660 	    2.07867 	    0.95688 	    0.34699 	    0.26917 	    0.64711 	    0.72460 	    2.07897 	    0.95690 	    0.00000 	    0.00000 	    0.28555 	    0.08850 	 83508857.05319 	 60626367.43315 	    4.34835 	    4.45817 	    3.03271 	    1.49748 	    0.00013 	    0.00001 	    0.00052 	    0.00012 	    0.00090 	    0.00000 	    0.00000 	    0.00000 	    0.85833 	    0.90876 	    0.13976 	    0.09109 	  -12.30109 	   -9.47340
