#
#     Data from population synthesis for run4
#
# By Ylva Gotberg, 2023-10-03
#
# Initial conditions:
#   Using the single star models from /home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006_single_star/ to determine the radii of donors at different evolutionary stages
#   This means that we assume metallicity, Z=0.006
#   Using the lifetimes of stars from single star models in/home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006_single_star/
#   IMF: Kroupa, M_min = 0.1 Msun, M_max = 100.0 Msun 
# We assume the star-formation type: constant, with a star-formation rate of 0.2 Msun/yr
# This file contains the information about the stars that are present in the population after 100000000.0 years
#   fbin:constant
#   q distribution: flat, 0.1 < q < 1.0
#   P distribution: Sana+12 for M1>15 Msun and Opik24 for M1<15 Msun
#
# Physical assumptions:
#   Critical mass ratio for the donor main sequence, q_crit_MS=0.65
#   Critical mass ratio for the donor Hertzsprung gap, q_crit_HG=0.4
#   Using the alpha-prescription for common envelope evolution
#   alpha_CE = 1.0, lambda_CE = 0.5
#   Using the binary star models from /home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006/ to determine the masses and radii of stripped stars
#   Stripped stars can only be formed from donor stars with 2.0 < M1init/Msun < 100.0
#   Actually, we assume that binary interaction only can occur in the above mass range.
#   For stripped stars we set the total lifetime to tau_MS+tau_strip, where the duration of the stripped phases (tau_strip) come from the binary models in/home/adesai/snap/firefox/common/Downloads/evolutionary_tracks/grid_006/
#   Mass transfer efficiency is set to beta_MS = 1.0, beta_HG = 0.0, beta_HG_CEE = 0.0
#   For mergers, we assume that their final mass is M1init+M2init
#   The final period is set by the treatment of angular momentum during interaction, we ignore the effect of wind mass loss on the period.
#   We use the isotropic_reemission setting for the treatment of angular momentum.
#   For common envelope, the period is set in the alpha prescription
#   Rejuvenation of mass gainers and MSMS mergers is set by Tout97
#   HGMS mergers are not rejuvenated, but their lifetimes are adapted to the new mass
#
# Even though the full population synthesis accounts for the full mass range from 0.1 to 100.0 Msun, 
# I will only keep the stars with initial masses (Minit or M1init) between 2.0 and 100.0 Msun.
# I am ignoring single stars that died and binaries in which at least the primary died.
# I show dead secondaries as long as the primary is still alive
# For the star state: 1 - main-sequence star, 2 - stripped star, 3 - post main-sequence star, 4 - compact object, 51 - merger product in MS stage.
#
# Star_ID 	 Star_state_m1 	 Star_state_m2 	 Evolution 	 M1init 	 M2init 	 Pinit 	 Pcurrent 	 log_Teff_1 	 log_Teff_2 	 log_L_1 	 log_L_2 	 center_he4_1 	 center_he4_2 	 center_h1_1 	 center_h1_2 	 log_Lnuc_1 	 log_Lnuc_2 	 he_core_mass_1 	 he_core_mass_2 	 log_R_1 	 log_R_2 	 star_age_1 	 star_age_2 	 log_g_1 	 log_g_2 	 star_mass_1 	 star_mass_2 	 surface_n14_1 	 surface_n14_2 	 surface_c12_1 	 surface_c12_2 	 surface_o16_1 	 surface_o16_2 	 surf_avg_v_rot_1 	 surf_avg_v_rot_2 	 surface_h1_1 	 surface_h1_2 	 surface_he4_1 	 surface_he4_2 	 log_abs_mdot_1 	 log_abs_mdot_2
8955	1	1	merger_HG	    5.83209	    1.54022	   49.73412	   49.73412 	    4.23772 	    3.96256 	    3.37117 	    0.98734 	    0.79543 	    0.26652 	    0.19874 	    0.72727 	    3.37175 	    0.98727 	    0.00000 	    0.00000 	    0.73341 	    0.09181 	 66748487.85970 	 50076926.42507 	    3.73566 	    4.45992 	    5.82187 	    1.53797 	    0.00029 	    0.00001 	    0.00100 	    0.00015 	    0.00267 	   -0.00002 	    0.00000 	    0.00000 	    0.74655 	    0.90062 	    0.24771 	    0.09922 	   -9.43992 	  -10.44168
9008	1	1	strip_postHG	    2.09070	    0.89449	 1231.54611	 1231.54611 	    4.04294 	    3.86429 	    1.42322 	    0.46323 	    0.26578 	    0.25351 	    0.72807 	    0.74030 	    1.42365 	    0.46263 	    0.00000 	    0.00000 	    0.14899 	    0.02629 	 30191421.29780 	 8635655.05957 	    4.45974 	    4.45700 	    2.09113 	    0.88910 	    0.00001 	    0.00016 	    0.00005 	    0.00107 	    0.00003 	    0.00098 	    0.00000 	    0.00000 	    0.97226 	    0.70760 	    0.02765 	    0.28988 	  -13.57781 	  -11.02496
9030	1	1	not_interacting	    5.46533	    0.75560	  948.35207	  948.35207 	    4.27504 	    3.84325 	    3.10390 	    0.35249 	    0.51667 	    0.25345 	    0.47749 	    0.74037 	    3.10424 	    0.35179 	    0.00000 	    0.00000 	    0.52514 	    0.01301 	 49532200.51549 	 9225914.89038 	    4.12523 	    4.45476 	    5.46596 	    0.74954 	    0.00023 	    0.00016 	    0.00082 	    0.00113 	    0.00200 	    0.00099 	    0.00000 	    0.00000 	    0.78020 	    0.68999 	    0.21570 	    0.30738 	  -10.05010 	  -10.76554
9039	1	1	strip_RLOF_MS	    3.51386	    2.96537	    1.17956	    1.17956 	    4.18082 	    4.13817 	    2.28855 	    2.00620 	    0.31507 	    0.29346 	    0.67901 	    0.70055 	    2.28889 	    2.00660 	    0.00000 	    0.00000 	    0.30589 	    0.25002 	 40446424.49873 	 40193212.36415 	    4.37156 	    4.40943 	    3.51538 	    2.96309 	    0.00010 	    0.00016 	    0.00042 	    0.00057 	    0.00063 	    0.00119 	    0.00000 	    0.00000 	    0.86372 	    0.84120 	    0.13495 	    0.15634 	  -11.97504 	  -12.41187
9069	1	1	strip_RLOF_HG	    8.54563	    6.78865	  190.44315	  190.44315 	    4.35123 	    4.33027 	    3.85156 	    3.38755 	    0.69135 	    0.47441 	    0.30282 	    0.51975 	    3.85202 	    3.38787 	    0.00000 	    0.00000 	    0.74658 	    0.55649 	 27780912.40016 	 27703789.02942 	    3.87407 	    4.15607 	    8.50943 	    6.78421 	    0.00030 	    0.00030 	    0.00102 	    0.00102 	    0.00280 	    0.00280 	    0.00000 	    0.00000 	    0.74200 	    0.74200 	    0.25197 	    0.25197 	   -8.46120 	   -9.37881
9108	1	1	merger_HG	    2.31374	    2.29949	   74.14704	   74.14704 	    4.06735 	    4.06564 	    1.60974 	    1.59909 	    0.29860 	    0.29789 	    0.69537 	    0.69608 	    1.61010 	    1.59946 	    0.00000 	    0.00000 	    0.19343 	    0.19152 	 81303117.17291 	 81190917.80989 	    4.41527 	    4.41640 	    2.31624 	    2.30178 	    0.00000 	    0.00000 	    0.00001 	    0.00001 	    0.00003 	    0.00003 	    0.00000 	    0.00000 	    0.99249 	    0.99280 	    0.00746 	    0.00714 	  -17.53995 	  -17.79229
9147	1	 - 	 single 	   7.24855	 - 	 - 	 - 	    4.25100 	 - 	    3.75227 	 - 	    0.91204 	 - 	    0.08213 	 - 	    3.75287 	 - 	    0.00000 	 - 	    0.89740 	 - 	 46299223.04701 	 - 	    3.50084 	 - 	    7.21166 	 - 	    0.00030 	 - 	    0.00102 	 - 	    0.00280 	 - 	    0.00000 	 - 	    0.74200 	 - 	    0.25197 	 - 	   -8.69276 	 -
9158	1	 - 	 single 	   5.09958	 - 	 - 	 - 	    4.24650 	 - 	    3.05448 	 - 	    0.59913 	 - 	    0.39503 	 - 	    3.05488 	 - 	    0.00000 	 - 	    0.55750 	 - 	 69732251.00044 	 - 	    4.02999 	 - 	    5.10010 	 - 	    0.00024 	 - 	    0.00085 	 - 	    0.00208 	 - 	    0.00000 	 - 	    0.77940 	 - 	    0.21628 	 - 	  -10.13986 	 -
9173	1	1	not_interacting	    2.88960	    0.30624	  680.77854	  680.77854 	    4.13162 	    3.79176 	    1.96122 	    0.09279 	    0.28862 	    0.25124 	    0.70538 	    0.74259 	    1.96164 	    0.06229 	    0.00000 	    0.00000 	    0.24063 	   -0.01386 	 38097415.44212 	    0.00000 	    4.41683 	    4.41527 	    2.88860 	    0.29799 	    0.00012 	    0.00028 	    0.00045 	    0.00104 	    0.00081 	    0.00250 	    0.00000 	    0.00000 	    0.86532 	    0.69738 	    0.13302 	    0.29644 	  -12.59810 	  -11.74147
9177	1	1	not_interacting	    2.71945	    0.84012	  808.84482	  808.84482 	    4.10938 	    3.85706 	    1.89981 	    0.42423 	    0.33853 	    0.25676 	    0.65554 	    0.73702 	    1.90011 	    0.42324 	    0.00000 	    0.00000 	    0.25440 	    0.02126 	 99585972.94805 	 24383462.00013 	    4.36373 	    4.45579 	    2.72131 	    0.83447 	    0.00009 	    0.00001 	    0.00034 	    0.00056 	    0.00066 	   -0.00060 	    0.00000 	    0.00000 	    0.89502 	    0.78874 	    0.10365 	    0.21139 	  -12.78450 	  -10.10988
9180	1	1	strip_CEE_HG	    4.63996	    1.66578	  244.90725	  244.90725 	    4.23107 	    3.98038 	    2.87271 	    1.08989 	    0.53964 	    0.27229 	    0.45452 	    0.72151 	    2.87306 	    1.09009 	    0.00000 	    0.00000 	    0.49748 	    0.10744 	 76210459.58857 	 64293110.23171 	    4.10905 	    4.45470 	    4.64121 	    1.66414 	    0.00021 	    0.00001 	    0.00074 	    0.00007 	    0.00165 	    0.00001 	    0.00000 	    0.00000 	    0.79860 	    0.94186 	    0.19799 	    0.05805 	  -10.56868 	  -10.01239
9258	1	1	merger_HG	    2.39268	    0.91832	    3.50455	    3.50455 	    4.07811 	    3.86848 	    1.66343 	    0.48536 	    0.29379 	    0.25584 	    0.70018 	    0.73795 	    1.66381 	    0.48450 	    0.00000 	    0.00000 	    0.19876 	    0.02899 	 67377412.11464 	 19202406.97811 	    4.41956 	    4.45656 	    2.39631 	    0.91304 	    0.00001 	   -0.00001 	    0.00004 	    0.00053 	    0.00011 	   -0.00080 	    0.00000 	    0.00000 	    0.97945 	    0.79868 	    0.02037 	    0.20173 	  -14.82126 	  -10.60823
9274	1	1	merger_HG	    2.21251	    1.29465	   14.13836	   14.13836 	    4.05648 	    3.92599 	    1.53001 	    0.78888 	    0.28599 	    0.26227 	    0.70793 	    0.73150 	    1.53041 	    0.78853 	    0.00000 	    0.00000 	    0.17529 	    0.06572 	 65303286.44508 	 38142655.56656 	    4.43237 	    4.46116 	    2.21357 	    1.29121 	    0.00000 	   -0.00000 	    0.00000 	    0.00023 	    0.00000 	   -0.00040 	    0.00000 	    0.00000 	    0.99947 	    0.86816 	    0.00052 	    0.13201 	  -16.89110 	  -10.36885
9277	1	1	merger_MS	    2.24135	    0.34836	    1.71653	    1.71653 	    4.06320 	    3.79778 	    1.54243 	    0.12414 	    0.27059 	    0.25127 	    0.72329 	    0.74256 	    1.54294 	    0.09439 	    0.00000 	    0.00000 	    0.16808 	   -0.01023 	 34669929.00674 	    0.00000 	    4.45225 	    4.41675 	    2.24281 	    0.34032 	    0.00001 	    0.00028 	    0.00004 	    0.00103 	    0.00007 	    0.00249 	    0.00000 	    0.00000 	    0.98616 	    0.69980 	    0.01370 	    0.29409 	  -14.65722 	  -11.77613
9320	1	1	strip_postHG	    3.65456	    2.50789	 1254.66566	 1254.66566 	    4.17954 	    4.08784 	    2.44432 	    1.75757 	    0.44734 	    0.32214 	    0.54680 	    0.67190 	    2.44463 	    1.75789 	    0.00000 	    0.00000 	    0.38633 	    0.22637 	 98732848.64230 	 99646814.79550 	    4.22813 	    4.38469 	    3.65528 	    2.51164 	    0.00012 	    0.00003 	    0.00047 	    0.00010 	    0.00071 	    0.00022 	    0.00000 	    0.00000 	    0.85688 	    0.96999 	    0.14160 	    0.02957 	  -11.66113 	  -14.66537
9393	1	1	strip_CEE_HG	    8.55057	    5.45811	  424.64979	  424.64979 	    4.37490 	    4.28915 	    3.75368 	    2.97997 	    0.54027 	    0.34539 	    0.45390 	    0.64874 	    3.75403 	    2.98027 	    0.00000 	    0.00000 	    0.65030 	    0.43494 	 21243999.27584 	 21131769.90186 	    4.06783 	    4.30522 	    8.53295 	    5.46056 	    0.00030 	    0.00019 	    0.00102 	    0.00070 	    0.00280 	    0.00152 	    0.00000 	    0.00000 	    0.74200 	    0.79815 	    0.25197 	    0.19885 	   -8.65349 	  -10.39827
9499	1	1	not_interacting	    2.93276	    0.47697	  543.15772	  543.15772 	    4.13136 	    3.80046 	    2.00828 	    0.12756 	    0.32391 	    0.25233 	    0.67015 	    0.74149 	    2.00861 	    0.12714 	    0.00000 	    0.00000 	    0.26467 	   -0.01388 	 70231073.39015 	 5205033.48967 	    4.37523 	    4.45074 	    2.93102 	    0.46955 	    0.00011 	    0.00018 	    0.00044 	    0.00110 	    0.00074 	    0.00128 	    0.00000 	    0.00000 	    0.87283 	    0.67986 	    0.12563 	    0.31685 	  -12.50258 	  -10.69012
9525	1	1	strip_RLOF_MS	    2.16798	    1.50246	    0.56066	    0.56066 	    4.04809 	    3.95679 	    1.50265 	    0.96049 	    0.29997 	    0.27222 	    0.69398 	    0.72155 	    1.50300 	    0.96058 	    0.00000 	    0.00000 	    0.17841 	    0.08992 	 96705065.04871 	 71109641.21405 	    4.41695 	    4.45587 	    2.16879 	    1.50002 	    0.00000 	    0.00001 	    0.00000 	    0.00009 	    0.00000 	    0.00001 	    0.00000 	    0.00000 	    0.99713 	    0.92352 	    0.00286 	    0.07635 	  -19.13185 	   -8.67181
9556	1	1	not_interacting	    2.93432	    0.60663	  112.78901	  112.78901 	    4.14201 	    3.83470 	    1.96993 	    0.31634 	    0.26125 	    0.25146 	    0.73263 	    0.74237 	    1.97079 	    0.29122 	    0.00000 	    0.00000 	    0.22420 	    0.01203 	 8952511.63468 	    0.00000 	    4.45640 	    4.42581 	    2.93258 	    0.59984 	    0.00013 	    0.00027 	    0.00052 	    0.00099 	    0.00092 	    0.00237 	    0.00000 	    0.00000 	    0.84442 	    0.71461 	    0.15368 	    0.27965 	  -12.51733 	  -11.98864
9623	1	1	merger_MS	    3.15048	    1.69013	    2.62087	    2.62087 	    4.15310 	    3.98452 	    2.10821 	    1.10433 	    0.30317 	    0.26424 	    0.69087 	    0.72956 	    2.10859 	    1.10441 	    0.00000 	    0.00000 	    0.27116 	    0.10639 	 42914753.47823 	 36780101.27542 	    4.39340 	    4.46186 	    3.15047 	    1.68861 	    0.00013 	    0.00001 	    0.00049 	    0.00016 	    0.00088 	   -0.00003 	    0.00000 	    0.00000 	    0.85520 	    0.91231 	    0.14298 	    0.08754 	  -12.28637 	  -11.60288
9633	1	1	strip_CEE_HG	    3.79160	    3.77124	  219.84285	  219.84285 	    4.19449 	    4.19327 	    2.45609 	    2.44669 	    0.38608 	    0.38427 	    0.60805 	    0.60987 	    2.45638 	    2.44698 	    0.00000 	    0.00000 	    0.36232 	    0.36005 	 67015949.37533 	 67013167.42876 	    4.29146 	    4.29372 	    3.79067 	    3.77057 	    0.00015 	    0.00014 	    0.00057 	    0.00056 	    0.00103 	    0.00099 	    0.00000 	    0.00000 	    0.83459 	    0.83762 	    0.16327 	    0.16033 	  -11.55492 	  -11.58162
9654	3	 - 	 single 	   5.90360	 - 	 - 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 - 	    0.00000 	 -
9693	1	1	strip_RLOF_HG	    4.56873	    3.72227	    5.51642	    5.51642 	    4.22124 	    4.18634 	    2.87763 	    2.45565 	    0.58197 	    0.42467 	    0.41219 	    0.56947 	    2.87801 	    2.45595 	    0.00000 	    0.00000 	    0.51960 	    0.37840 	 86334725.38155 	 86157537.58388 	    4.05820 	    4.25155 	    4.56977 	    3.72216 	    0.00022 	    0.00012 	    0.00077 	    0.00049 	    0.00173 	    0.00077 	    0.00000 	    0.00000 	    0.79433 	    0.85165 	    0.20206 	    0.14673 	  -10.54112 	  -11.59908
9694	1	1	strip_postHG	    3.34948	    1.34747	 2855.79152	 2855.79152 	    4.16059 	    3.93444 	    2.27548 	    0.83524 	    0.40183 	    0.26766 	    0.59231 	    0.72610 	    2.27579 	    0.83505 	    0.00000 	    0.00000 	    0.33983 	    0.07199 	 98121472.86119 	 60395006.32929 	    4.28322 	    4.45957 	    3.35168 	    1.34428 	    0.00013 	    0.00001 	    0.00052 	    0.00018 	    0.00083 	   -0.00002 	    0.00000 	    0.00000 	    0.85352 	    0.88005 	    0.14471 	    0.11976 	  -11.97265 	   -8.90471
9717	1	1	strip_postHG	    3.87308	    2.08848	  280.63580	  280.63580 	    4.19668 	    4.03874 	    2.51455 	    1.43247 	    0.42285 	    0.28744 	    0.57130 	    0.70647 	    2.51485 	    1.43286 	    0.00000 	    0.00000 	    0.38717 	    0.16203 	 78224965.46195 	 78349434.11910 	    4.25085 	    4.43322 	    3.87108 	    2.08891 	    0.00013 	    0.00000 	    0.00051 	    0.00001 	    0.00085 	    0.00000 	    0.00000 	    0.00000 	    0.84522 	    0.99110 	    0.15301 	    0.00889 	  -11.46566 	  -14.67238
9722	1	1	merger_MS	    4.72845	    1.97151	    1.77683	    1.77683 	    4.24137 	    4.02367 	    2.86962 	    1.33458 	    0.49278 	    0.27731 	    0.50138 	    0.71654 	    2.86995 	    1.33495 	    0.00000 	    0.00000 	    0.47532 	    0.14320 	 64350096.31669 	 62906251.92925 	    4.16157 	    4.44661 	    4.72998 	    1.97136 	    0.00020 	    0.00000 	    0.00071 	    0.00002 	    0.00157 	    0.00000 	    0.00000 	    0.00000 	    0.80362 	    0.98194 	    0.19319 	    0.01803 	  -10.60464 	  -12.64281
9750	1	1	merger_MS	   12.93893	    6.82825	    3.60322	    3.60322 	    4.47167 	    4.34473 	    4.20006 	    3.26323 	    0.39689 	    0.29232 	    0.59727 	    0.70175 	    4.20035 	    3.26365 	    0.00000 	    0.00000 	    0.67995 	    0.46540 	 6021743.19939 	 6014017.08059 	    4.18902 	    4.34110 	   12.92861 	    6.83004 	    0.00030 	    0.00030 	    0.00102 	    0.00102 	    0.00280 	    0.00280 	    0.00000 	    0.00000 	    0.74200 	    0.74200 	    0.25197 	    0.25197 	   -8.76575 	   -9.64107
9815	1	 - 	 single 	   5.10994	 - 	 - 	 - 	    4.28743 	 - 	    2.81716 	 - 	    0.25378 	 - 	    0.74007 	 - 	    2.81921 	 - 	    0.00000 	 - 	    0.35697 	 - 	 400218.81157 	 - 	    4.43212 	 - 	    5.11291 	 - 	    0.00028 	 - 	    0.00095 	 - 	    0.00253 	 - 	    0.00000 	 - 	    0.75673 	 - 	    0.23793 	 - 	  -10.54598 	 -
9825	1	1	strip_RLOF_HG	    3.03308	    2.06634	   16.57320	   16.57320 	    4.13739 	    4.03483 	    2.08499 	    1.41787 	    0.35743 	    0.29290 	    0.63667 	    0.70102 	    2.08530 	    1.41823 	    0.00000 	    0.00000 	    0.29097 	    0.16254 	 91830271.87190 	 92299945.41146 	    4.33728 	    4.42760 	    3.03108 	    2.06665 	    0.00012 	    0.00000 	    0.00051 	    0.00001 	    0.00085 	    0.00000 	    0.00000 	    0.00000 	    0.86170 	    0.98824 	    0.13649 	    0.01175 	  -12.30008 	  -14.62332
9843	1	 - 	 single 	   5.02187	 - 	 - 	 - 	    4.27107 	 - 	    2.83395 	 - 	    0.31573 	 - 	    0.67837 	 - 	    2.83429 	 - 	    0.00000 	 - 	    0.39809 	 - 	 17933210.75422 	 - 	    4.34248 	 - 	    5.02445 	 - 	    0.00016 	 - 	    0.00061 	 - 	    0.00123 	 - 	    0.00000 	 - 	    0.81617 	 - 	    0.18143 	 - 	  -10.75581 	 -
9860	1	1	merger_HG	    2.75551	    2.54296	   45.81744	   45.81744 	    4.11964 	    4.09818 	    1.88450 	    1.75257 	    0.28417 	    0.27861 	    0.70981 	    0.71533 	    1.88494 	    1.75305 	    0.00000 	    0.00000 	    0.22622 	    0.20319 	 37487747.60829 	 37497152.49695 	    4.42550 	    4.43691 	    2.75677 	    2.54643 	    0.00012 	    0.00008 	    0.00046 	    0.00028 	    0.00092 	    0.00057 	    0.00000 	    0.00000 	    0.86705 	    0.91114 	    0.13109 	    0.08777 	  -12.75303 	  -13.15553
9868	1	 - 	 single 	  10.62127	 - 	 - 	 - 	    4.43864 	 - 	    3.86895 	 - 	    0.29433 	 - 	    0.69976 	 - 	    3.86935 	 - 	    0.00000 	 - 	    0.58046 	 - 	 2706648.16230 	 - 	    4.30241 	 - 	   10.61532 	 - 	    0.00030 	 - 	    0.00102 	 - 	    0.00280 	 - 	    0.00000 	 - 	    0.74200 	 - 	    0.25197 	 - 	   -9.51767 	 -
9951	1	 - 	 single 	   5.55045	 - 	 - 	 - 	    4.28444 	 - 	    3.08494 	 - 	    0.45817 	 - 	    0.53599 	 - 	    3.08525 	 - 	    0.00000 	 - 	    0.49684 	 - 	 39970583.73070 	 - 	    4.18823 	 - 	    5.55071 	 - 	    0.00023 	 - 	    0.00081 	 - 	    0.00199 	 - 	    0.00000 	 - 	    0.77928 	 - 	    0.21663 	 - 	  -10.09681 	 -
9994	1	1	strip_RLOF_MS	    3.76649	    3.47973	    0.76107	    0.76107 	    4.20681 	    4.18716 	    2.36160 	    2.23870 	    0.26412 	    0.26208 	    0.72981 	    0.73183 	    2.36244 	    2.23959 	    0.00000 	    0.00000 	    0.29044 	    0.26828 	 6679395.76669 	 6618993.22892 	    4.43243 	    4.44254 	    3.76601 	    3.48144 	    0.00018 	    0.00017 	    0.00065 	    0.00063 	    0.00129 	    0.00123 	    0.00000 	    0.00000 	    0.81288 	    0.81838 	    0.18446 	    0.17910 	  -11.67092 	  -11.89519
10093	1	1	not_interacting	    2.01957	    0.62410	  435.02197	  435.02197 	    4.02854 	    3.82352 	    1.37951 	    0.24848 	    0.29070 	    0.25386 	    0.70320 	    0.73995 	    1.37987 	    0.24759 	    0.00000 	    0.00000 	    0.15594 	    0.00045 	 91537378.32957 	 12230961.58748 	    4.43109 	    4.45260 	    2.01966 	    0.61740 	    0.00000 	    0.00016 	    0.00001 	    0.00117 	    0.00000 	    0.00084 	    0.00000 	    0.00000 	    0.98511 	    0.68028 	    0.01487 	    0.31722 	  -13.36862 	  -10.24510
10098	1	1	merger_HG	    4.33742	    1.04404	   78.60975	   78.60975 	    4.22141 	    3.88803 	    2.72463 	    0.58728 	    0.47297 	    0.25864 	    0.52119 	    0.73515 	    2.72495 	    0.58672 	    0.00000 	    0.00000 	    0.44275 	    0.04083 	 73444769.53934 	 28000338.88708 	    4.18915 	    4.45895 	    4.33724 	    1.03938 	    0.00017 	   -0.00003 	    0.00062 	    0.00034 	    0.00120 	   -0.00094 	    0.00000 	    0.00000 	    0.82120 	    0.83516 	    0.17634 	    0.16558 	  -10.96021 	  -10.36342
10118	1	1	strip_RLOF_HG	    2.45745	    1.67350	    8.28151	    8.28151 	    4.08452 	    3.98142 	    1.71461 	    1.09643 	    0.30406 	    0.27313 	    0.68994 	    0.72067 	    1.71496 	    1.09664 	    0.00000 	    0.00000 	    0.21153 	    0.10864 	 78214285.43467 	 66562003.38942 	    4.40591 	    4.45390 	    2.46162 	    1.67190 	    0.00001 	    0.00001 	    0.00004 	    0.00006 	    0.00008 	    0.00001 	    0.00000 	    0.00000 	    0.98528 	    0.94527 	    0.01456 	    0.05464 	  -13.97999 	   -9.88036
10120	1	 - 	 single 	   7.26225	 - 	 - 	 - 	    4.34113 	 - 	    3.51236 	 - 	    0.51847 	 - 	    0.47570 	 - 	    3.51270 	 - 	    0.00000 	 - 	    0.59717 	 - 	 27608128.72975 	 - 	    4.10350 	 - 	    7.24819 	 - 	    0.00030 	 - 	    0.00102 	 - 	    0.00280 	 - 	    0.00000 	 - 	    0.74200 	 - 	    0.25197 	 - 	   -9.12942 	 -
10150	1	1	not_interacting	    2.05522	    0.71662	  553.28837	  553.28837 	    4.03847 	    3.83688 	    1.39325 	    0.31895 	    0.26241 	    0.25248 	    0.73142 	    0.74134 	    1.39365 	    0.31862 	    0.00000 	    0.00000 	    0.14295 	    0.00898 	 23141897.58887 	 4695792.12586 	    4.46447 	    4.45472 	    2.05549 	    0.71037 	    0.00002 	    0.00018 	    0.00011 	    0.00103 	    0.00008 	    0.00126 	    0.00000 	    0.00000 	    0.95037 	    0.70266 	    0.04941 	    0.29420 	  -13.30459 	  -11.06685
10189	1	 - 	 single 	   5.03635	 - 	 - 	 - 	    4.27956 	 - 	    2.80095 	 - 	    0.26254 	 - 	    0.73139 	 - 	    2.80192 	 - 	    0.00000 	 - 	    0.36462 	 - 	 2988947.03700 	 - 	    4.41065 	 - 	    5.03921 	 - 	    0.00021 	 - 	    0.00076 	 - 	    0.00174 	 - 	    0.00000 	 - 	    0.78857 	 - 	    0.20795 	 - 	  -10.69568 	 -
10376	1	1	merger_MS	    2.63604	    0.83575	    0.90734	    0.90734 	    4.11141 	    3.85498 	    1.80348 	    0.41410 	    0.26574 	    0.25255 	    0.72816 	    0.74127 	    1.80414 	    0.41381 	    0.00000 	    0.00000 	    0.20218 	    0.02035 	 17571810.82498 	 4442648.15435 	    4.45453 	    4.45670 	    2.63877 	    0.83008 	    0.00011 	    0.00018 	    0.00042 	    0.00099 	    0.00074 	    0.00125 	    0.00000 	    0.00000 	    0.87365 	    0.71399 	    0.12483 	    0.28294 	  -12.92013 	  -11.25412
10432	1	1	strip_postHG	    2.52844	    1.39361	 1025.14927	 1025.14927 	    4.09285 	    3.94085 	    1.75685 	    0.86883 	    0.30066 	    0.26447 	    0.69334 	    0.72931 	    1.75723 	    0.86865 	    0.00000 	    0.00000 	    0.21598 	    0.07598 	 68972503.18269 	 43972493.70750 	    4.40890 	    4.46117 	    2.53203 	    1.39065 	    0.00004 	    0.00000 	    0.00014 	    0.00022 	    0.00029 	   -0.00013 	    0.00000 	    0.00000 	    0.95479 	    0.87618 	    0.04465 	    0.12371 	  -13.55350 	  -10.33433
10469	1	1	strip_RLOF_HG	    2.05552	    1.79455	    3.06864	    3.06864 	    4.03500 	    3.99879 	    1.40329 	    1.19258 	    0.28149 	    0.27368 	    0.71239 	    0.72014 	    1.40368 	    1.19286 	    0.00000 	    0.00000 	    0.15490 	    0.12197 	 67551453.31532 	 62536827.26822 	    4.44064 	    4.45236 	    2.05578 	    1.79354 	    0.00000 	    0.00001 	    0.00001 	    0.00004 	    0.00000 	    0.00001 	    0.00000 	    0.00000 	    0.98973 	    0.95949 	    0.01026 	    0.04044 	  -13.81773 	  -10.93873
10516	1	1	merger_HG	    2.43593	    0.47306	   72.18141	   72.18141 	    4.08130 	    3.79987 	    1.70431 	    0.12444 	    0.30977 	    0.25233 	    0.68424 	    0.74149 	    1.70465 	    0.12402 	    0.00000 	    0.00000 	    0.21282 	   -0.01425 	 88110196.83806 	 5213349.34209 	    4.39963 	    4.45067 	    2.44018 	    0.46562 	    0.00000 	    0.00018 	    0.00000 	    0.00110 	    0.00001 	    0.00128 	    0.00000 	    0.00000 	    0.99728 	    0.67949 	    0.00270 	    0.31722 	  -14.46977 	  -10.68397
10563	1	1	not_interacting	    3.55497	    0.40243	 2202.52707	 2202.52707 	    4.19253 	    3.80551 	    2.27256 	    0.16437 	    0.26277 	    0.25131 	    0.73115 	    0.74252 	    2.27343 	    0.13559 	    0.00000 	    0.00000 	    0.27448 	   -0.00557 	 6737200.25292 	    0.00000 	    4.43951 	    4.41865 	    3.55635 	    0.39464 	    0.00017 	    0.00028 	    0.00062 	    0.00102 	    0.00121 	    0.00246 	    0.00000 	    0.00000 	    0.81875 	    0.70290 	    0.17876 	    0.29106 	  -11.84359 	  -11.82061
10582	1	1	strip_RLOF_HG	    5.46335	    4.41721	    4.79215	    4.79215 	    4.29284 	    4.24339 	    2.94830 	    2.61745 	    0.30027 	    0.28152 	    0.69381 	    0.71249 	    2.94868 	    2.61796 	    0.00000 	    0.00000 	    0.41173 	    0.34521 	 11405036.88006 	 11350358.23532 	    4.35206 	    4.39255 	    5.46612 	    4.41857 	    0.00019 	    0.00015 	    0.00069 	    0.00057 	    0.00151 	    0.00105 	    0.00000 	    0.00000 	    0.79792 	    0.82650 	    0.19911 	    0.17139 	  -10.46324 	  -11.20541
